test_set,tamper_type,analysis_only,threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate
TestingSet,copy_move,True,0.04,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.05,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.06,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.07,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.08,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.09,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.1,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.11,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.12,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.13,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.14,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.15,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.16,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.17,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.18,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.19,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.2,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.21,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.22,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.23,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
